title,link,country_address,funding_amount,ceo_cto_cfo_name,Article_date,entity_name
Sagittal AI Raises $2.2M in Pre-Seed Funding,https://www.finsmes.com/2025/04/sagittal-ai-raises-2-2m-in-pre-seed-funding.html,"{'city': 'Sagittal AI', 'state': 'None', 'country': 'a London'}",['$2.2M'],[],"April 7, 2025",['Pre-Seed Funding']
"Extsy Officially Launches on April 4th, 2025: A New Era of Seamless Crypto Trading with Industry-Leading Features",https://www.finsmes.com/2025/04/extsy-officially-launches-on-april-4th-2025-a-new-era-of-seamless-crypto-trading-with-industry-leading-features.html,"{'city': 'London', 'state': 'None', 'country': 'United Kingdom'}",[],[],"April 4, 2025","['Extsy Officially Launches', 'Industry-Leading Features']"
Sedna Communications Receives $10M in Growth Financing,https://www.finsmes.com/2025/04/sedna-communications-receives-10m-in-growth-financing.html,"{'city': 'Sedna Communications', 'state': 'None', 'country': 'a London'}",['$10M'],[],"April 4, 2025",['Sedna Communications']
Virturo Strategist Eduard Becker Outlines AI-Driven Approaches to CFD Trading for High-Net-Worth Clients,https://www.finsmes.com/2025/04/virturo-strategist-eduard-becker-outlines-ai-driven-approaches-to-cfd-trading-for-high-net-worth-clients.html,"{'city': 'London', 'state': 'None', 'country': 'United KIngdom'}",[],[],"April 3, 2025","['Virturo Strategist', 'AI-Driven Approaches']"
Grid Edge Raises £2.8M in Funding,https://www.finsmes.com/2025/04/grid-edge-raises-2-8m-in-funding.html,"{'city': 'Grid Edge', 'state': 'None', 'country': 'a Birmingham'}",['2.8'],[],"April 3, 2025",[]
Ultra Closes $12M Funding,https://www.finsmes.com/2025/04/ultra-closes-12m-funding.html,"{'city': 'Ultra', 'state': 'None', 'country': 'a London'}",['12'],[],"April 3, 2025",['Ultra Closes']
Unravel Raises $7M in Series A Funding,https://www.finsmes.com/2025/04/unravel-raises-7m-in-series-a-funding.html,"{'city': 'Unravel', 'state': 'None', 'country': 'a London'}",['$7M'],['Vijay Anand'],"April 3, 2025",[]
Lumai Raises Over $10M in Funding,https://www.finsmes.com/2025/04/lumai-raises-over-10m-in-funding.html,"{'city': 'Lumai', 'state': 'None', 'country': 'an Oxford'}",['over $10M'],['Tim Weil'],"April 2, 2025",['Lumai']
"Global Designers Challenge Borders, Identity, and the Limits of Physical Fashion at Metaverse Fashion Week 2025",https://www.finsmes.com/2025/04/global-designers-challenge-borders-identity-and-the-limits-of-physical-fashion-at-metaverse-fashion-week-2025.html,"{'city': 'London', 'state': 'None', 'country': 'UK'}","['15,000']",[],"April 2, 2025","['Global Designers Challenge Borders', 'Identity', 'the Limits of Physical Fashion']"
Ayan Capital Receives £25M in Shariah-Compliant Financing,https://www.finsmes.com/2025/04/ayan-capital-receives-25m-in-shariah-compliant-financing.html,"{'city': 'Ayen Capital', 'state': 'None', 'country': 'a London'}",['up to £25M'],[],"April 2, 2025",['Ayan Capital']
CMR Surgical Raises Over $200M in Funding,https://www.finsmes.com/2025/04/cmr-surgical-raises-over-200m-in-funding.html,"{'city': 'CMR Surgical', 'state': 'None', 'country': 'a Cambridge'}",['over $200M'],['Massimiliano Colella'],"April 2, 2025",[]
XConnect Acquires Sekura.id,https://www.finsmes.com/2025/04/xconnect-acquires-sekura-id.html,"{'city': 'XConnect', 'state': 'None', 'country': 'a London'}",[],['Eli Katz'],"April 1, 2025",['XConnect Acquires']
TransUnion Closes Acquisition of Monevo  ,https://www.finsmes.com/2025/04/transunion-closes-acquisition-of-monevo.html,"{'city': 'TransUnion (NYSE:TRU) announced the completion of the acquisition of Monevo', 'state': 'None', 'country': 'a Leeds'}",[],[],"April 1, 2025",[]
Zepz Receives $165M in Growth Financing,https://www.finsmes.com/2025/04/zepz-receives-165m-in-growth-financing.html,"{'city': 'Zepz', 'state': 'None', 'country': 'the London'}","['165', '110', '55', '$267M']",['Mark Lenhard'],"April 1, 2025",['Zepz']
Phlux Technology Raises £9M in Funding,https://www.finsmes.com/2025/03/phlux-technology-raises-9m-in-funding.html,"{'city': 'Phlux Technology', 'state': 'None', 'country': 'a Sheffield'}","['£9M', '£4M']",[],"March 31, 2025",['Phlux Technology']
Isomorphic Labs Raises $600M in Funding,https://www.finsmes.com/2025/03/isomorphic-labs-raises-600m-in-funding.html,"{'city': 'Isomorphic Labs', 'state': 'None', 'country': 'a London'}",['$600M'],[],"March 31, 2025",[]
POCKLA Raises £1.6M in Funding,https://www.finsmes.com/2025/03/pockla-raises-1-6m-in-funding.html,"{'city': 'Pockla', 'state': 'None', 'country': 'a London'}",['€1.6M'],[],"March 31, 2025",['POCKLA']
Diffblue Receives £1M Grant from Innovate UK,https://www.finsmes.com/2025/03/diffblue-receives-1m-grant-from-innovate-uk.html,"{'city': 'Diffblue', 'state': 'None', 'country': 'an Oxford'}",[],[],"March 31, 2025",['Innovate']
Paid Raises USD11M in Pre-Seed Funding,https://www.finsmes.com/2025/03/paid-raises-usd11m-in-pre-seed-funding.html,"{'city': 'Paid', 'state': 'None', 'country': 'a London'}","['€10m', '11']",[],"March 25, 2025",[]
Burbank Raises GBP5M in Seed Funding,https://www.finsmes.com/2025/03/burbank-raises-gbp5m-in-seed-funding.html,"{'city': 'Burbank', 'state': 'None', 'country': 'a Cardiff'}",[],['Justin Pike'],"March 25, 2025",['Burbank']
ThinkMarkets launches a new loyalty programme for its clients,https://www.finsmes.com/2025/03/thinkmarkets-launches-a-new-loyalty-programme-for-its-clients.html,"{'city': 'London', 'state': 'None', 'country': 'United Kingdom'}",[],[],"March 25, 2025",['ThinkMarkets']
CamGraPhIC Raises €25M in Series A Funding,https://www.finsmes.com/2025/03/camgraphic-raises-e25m-in-series-a-funding.html,"{'city': 'CamGraPhIC', 'state': 'None', 'country': 'a Cambridge'}",['€25M'],[],"March 24, 2025",[]
9fin Acquires Bond Radar,https://www.finsmes.com/2025/03/9fin-acquires-bond-radar.html,"{'city': '9fin', 'state': 'None', 'country': 'a London'}",['over $87'],['Steven Hunter'],"March 24, 2025",['Acquires']
MonacoSol Acquires virtualDCS,https://www.finsmes.com/2025/03/monacosol-acquires-virtualdcs.html,"{'city': 'MonacoSol', 'state': 'None', 'country': 'a Manchester'}",['2.8'],[],"March 24, 2025",[]
Vouchsafe Raises £1M in Pre-Seed Funding,https://www.finsmes.com/2025/03/vouchsafe-raises-1m-in-pre-seed-funding.html,"{'city': 'Vouchsafe', 'state': 'None', 'country': 'a London'}",['£1M'],[],"March 22, 2025",[]
Reactwise Raises £2.6M in Pre-Seed Funding,https://www.finsmes.com/2025/03/reactwise-raises-2-6m-in-pre-seed-funding.html,"{'city': 'Reactwise', 'state': 'None', 'country': 'a London'}",['£2.6M'],[],"March 22, 2025",['Pre-Seed Funding']
Brainomix Raises £14M in Series C Funding,https://www.finsmes.com/2025/03/brainomix-raises-14m-in-series-c-funding.html,"{'city': 'Brainomix', 'state': 'None', 'country': 'an Oxford'}",['£14M'],['Dr\xa0Michalis Papadakis'],"March 20, 2025",['Brainomix']
Forth Tx Receives Investment from Sofinnova Partners,https://www.finsmes.com/2025/03/forth-tx-receives-investment-from-sofinnova-partners.html,"{'city': 'Forth Therapeutics', 'state': 'None', 'country': 'an Edinburgh'}",[],['Alex Leech'],"March 19, 2025","['Forth Tx Receives Investment', 'Sofinnova Partners']"
EverySkin Receives Investment from Middleton Enterprises,https://www.finsmes.com/2025/03/everyskin-receives-investment-from-middleton-enterprises.html,"{'city': 'EverySkin', 'state': 'None', 'country': 'a London'}",[],[],"March 19, 2025",['EverySkin Receives Investment']
Utila Raises $18M in Series A Funding,https://www.finsmes.com/2025/03/utila-raises-18m-in-series-a-funding.html,"{'city': 'Utila', 'state': 'None', 'country': 'an institutional digital assets operations platform'}",['$18m'],[],"March 19, 2025",[]
Sensor Tower Acquires Video Game Insights,https://www.finsmes.com/2025/03/sensor-tower-acquires-video-game-insights.html,"{'city': 'Sensor Tower', 'state': 'None', 'country': 'a San Francisco'}",[],"['Karl Kontus', 'Oliver Yeh']","March 19, 2025",['Sensor Tower Acquires']
Bioniq Receives Over €1M Investment from Manchester United’s Diogo Dalot,https://www.finsmes.com/2025/03/bioniq-receives-over-e1m-investment-from-manchester-uniteds-diogo-dalot.html,"{'city': 'Bioniq', 'state': 'None', 'country': 'a London'}","['over €1M', '82M.', '$15M']",[],"March 18, 2025",['Bioniq']
Eventum Orthopaedics Raises £3.8M in Funding,https://www.finsmes.com/2025/03/eventum-orthopaedics-raises-3-8m-in-funding.html,"{'city': 'Eventhum Orthopaedics', 'state': 'None', 'country': 'a Leeds'}","['£3.8M', 'over £7m. FinSMEs']",[],"March 18, 2025",[]
Curve Raises £37M in Funding,https://www.finsmes.com/2025/03/curve-raises-37m-in-funding.html,"{'city': 'Curve', 'state': 'None', 'country': 'a London'}",['£37M'],[],"March 17, 2025",['Curve']
ABEX Raises $6M in Funding,https://www.finsmes.com/2025/03/abex-raises-6m-in-funding.html,"{'city': 'ABEX', 'state': 'None', 'country': 'a London'}",['$6M'],['Erkan Kaya'],"March 17, 2025",['ABEX']
Alloyed Raises £37M in Series B Funding,https://www.finsmes.com/2025/03/alloyed-raises-37m-in-series-b-funding.html,"{'city': 'Alloyed', 'state': 'None', 'country': 'an Oxford'}",['£37M'],['Michael Holmes'],"March 17, 2025",[]
bd-capital Raises €430M for Second Fund,https://www.finsmes.com/2025/03/bd-capital-raises-e430m-for-second-fund.html,"{'city': 'bd-capital', 'state': 'None', 'country': 'a London'}","['$430M', 'over €800M.']",[],"March 17, 2025",[]
Maxion Therapeutics Raises $72M in Series A Funding,https://www.finsmes.com/2025/03/maxion-therapeutics-raises-72m-in-series-a-funding.html,"{'city': 'Maxion Therapeutics', 'state': 'None', 'country': 'a Cambridge'}","['$72M', '58']",['Arndt Schottelius'],"March 17, 2025",['Maxion Therapeutics']
Strolll Raises £10.35M in Series A Funding,https://www.finsmes.com/2025/03/strolll-raises-10-35m-in-series-a-funding.html,"{'city': 'Strolll', 'state': 'None', 'country': 'a Stafford'}",['£10.35M'],['Jorgen Ellis'],"March 14, 2025",['Strolll']
Cloud Gateway Raises £1.5M in Funding,https://www.finsmes.com/2025/03/cloud-gateway-raises-1-5m-in-funding.html,"{'city': 'Cloud Gateway', 'state': 'None', 'country': 'a London'}",['£1.5M'],[],"March 14, 2025",[]
Clio Acquires ShareDo,https://www.finsmes.com/2025/03/clio-acquires-sharedo.html,"{'city': 'Clio', 'state': 'None', 'country': 'a Dublin'}",[],[],"March 14, 2025",[]
UiPath Buys Peak,https://www.finsmes.com/2025/03/uipath-buys-peak.html,"{'city': 'UiPath (NYSE: PATH)', 'state': 'None', 'country': 'a NYC-based\xa0enterprise automation and AI\xa0software company'}",[],['Richard Potter'],"March 13, 2025",['UiPath Buys Peak']
ImmuONE Raises £600K in Funding,https://www.finsmes.com/2025/03/immuone-raises-600k-in-funding.html,"{'city': 'ImmuONE', 'state': 'None', 'country': 'a Stevenage'}",['600'],[],"March 13, 2025",[]
Zero Point Motion Raises £4M in Pre-Series A Funding,https://www.finsmes.com/2025/03/zero-point-motion-raises-4m-in-pre-series-a-funding.html,"{'city': 'Zero Point Motion', 'state': 'None', 'country': 'a Bristol'}",['£4M'],[],"March 13, 2025",[]
Botguard Raises €45M in Series B; Rebrands to Blackwall ,https://www.finsmes.com/2025/03/botguard-raises-e45m-in-series-b-rebrands-to-blackwall.html,"{'city': 'Blackwall (fka Botguard)', 'state': 'None', 'country': 'a London'}","['€45M', '100+ service &']",[],"March 13, 2025","['Botguard', 'Blackwall']"
Mimo Raises $8.5M in Equity Round,https://www.finsmes.com/2025/03/mimo-raises-8-5m-in-equity-round.html,"{'city': 'Mimo', 'state': 'None', 'country': 'a London'}","['$8.5M', 'Froda', '125m+']",[],"March 12, 2025",[]
Atlant 3D Raises $15M in Series A+ Funding,https://www.finsmes.com/2025/03/atlant-3d-raises-15m-in-series-a-funding.html,"{'city': 'Atlant 3D', 'state': 'None', 'country': 'a Copenahagen'}",['$15M'],[],"March 12, 2025",[]
StimOxyGen Raises £1.5M in Funding,https://www.finsmes.com/2025/03/stimoxygen-raises-1-5m-in-funding.html,"{'city': 'StimOxyGen', 'state': 'None', 'country': 'a Derry'}",['£1.5M'],['Sian Farrell'],"March 11, 2025",[]
BinoFi – Next-Gen Hybrid Exchange lists on CoinMarketCap and Launches its BINO Token Presale,https://www.finsmes.com/2025/03/binofi-next-gen-hybrid-exchange-lists-on-coinmarketcap-and-launches-its-bino-token-presale.html,"{'city': 'London', 'state': 'None', 'country': 'UK'}","['0.02', '0.30']",[],"March 10, 2025",[]
"Bullionaire Coin ($BULL) Secures $400,000 in Private Investment to Develop Luxury-Focused Cryptocurrency",https://www.finsmes.com/2025/03/bullionaire-coin-bull-secures-400000-in-private-investment-to-develop-luxury-focused-cryptocurrency.html,"{'city': 'London', 'state': 'None', 'country': 'United Kingdom'}","['400,000', 'over $46,000', '1 billion $']",[],"March 10, 2025","['Bullionaire Coin', 'Private Investment']"
The Data City Raises £2M in Series A Funding,https://www.finsmes.com/2025/03/the-data-city-raises-2m-in-series-a-funding.html,"{'city': 'The Data City', 'state': 'None', 'country': 'a Leeds'}",['£2M'],['Alex Craven'],"March 10, 2025",['The Data City']
Lagom Chain Raises $200K in Funding,https://www.finsmes.com/2025/03/lagom-chain-raises-200k-in-funding.html,"{'city': 'Lagom Chain', 'state': 'None', 'country': 'a London'}","['$200K', '4']",['Harman Puri'],"March 10, 2025",[]
Just Move In Raises £6M in Series A Funding,https://www.finsmes.com/2025/03/just-move-in-raises-6m-in-series-a-funding.html,"{'city': 'Just Move In', 'state': 'None', 'country': 'a London'}",['£6M'],[],"March 10, 2025",[]
Alfa Raises £495K in Pre-Seed Funding,https://www.finsmes.com/2025/03/alfa-raises-495k-in-pre-seed-funding.html,"{'city': 'Alfa', 'state': 'None', 'country': 'a London'}",['£495K'],[],"March 10, 2025","['Alfa', 'Pre-Seed Funding']"
Ocean Ledger Raises $900K in Funding,https://www.finsmes.com/2025/03/ocean-ledger-raises-900k-in-funding.html,"{'city': 'Ocean Ledger', 'state': 'None', 'country': 'a London'}",['$900K'],['Paige Roepers'],"March 10, 2025",['Ocean Ledger Raises']
UNA Watch Raises £300K in Funding,https://www.finsmes.com/2025/03/una-watch-raises-300k-in-funding.html,"{'city': 'UNA Watch', 'state': 'None', 'country': 'an Edinburgh'}",['300'],[],"March 10, 2025",['UNA Watch']
InsureVision Raises $2.7M in Seed Funding,https://www.finsmes.com/2025/03/insurevision-raises-2-7m-in-seed-funding.html,"{'city': 'InsureVision', 'state': 'None', 'country': 'a London'}",['$2.7M'],['Mark Miller'],"March 10, 2025",['InsureVision']
"Oxalis Games Partners with Open Loot for Moonfrost, the Award-Winning Farm-Life Sim RPG",https://www.finsmes.com/2025/03/oxalis-games-partners-with-open-loot-for-moonfrost-the-award-winning-farm-life-sim-rpg.html,"{'city': 'London', 'state': 'None', 'country': 'United Kingdom'}","['over $400 million', '$170 million']",[],"March 7, 2025","['Oxalis Games Partners', 'the Award-Winning Farm-Life Sim RPG']"
Medly AI Raises £1.7M in Funding,https://www.finsmes.com/2025/03/medly-ai-raises-1-7m-in-funding.html,"{'city': 'Medly AI', 'state': 'None', 'country': 'a Wilmslow'}",['£1.7M'],[],"March 6, 2025",[]
Notify Technologies Raises £1.5M in Funding,https://www.finsmes.com/2025/03/notify-technologies-raises-1-5m-in-funding.html,"{'city': 'Notify Technologies', 'state': 'None', 'country': 'a Newcastle upon Tyne'}",['£1.5M'],['Duncan Davies'],"March 5, 2025",['Notify Technologies']
